"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 10 19:25:21 MSK 2020","Mon Aug 10 19:25:23 MSK 2020","1976","test","test_modify_contact","","","","test_modify_contact_firstname",""
"passed","Mon Aug 10 19:21:33 MSK 2020","Mon Aug 10 19:21:34 MSK 2020","1185","test","test_add_group","","","","test_add_group[None:name7r4C:headerD0vuGOGiVH:footer]",""
"passed","Mon Aug 10 19:25:12 MSK 2020","Mon Aug 10 19:25:21 MSK 2020","9455","test","test_modify_contact","","","","test_modify_contact",""
"passed","Mon Aug 10 19:23:01 MSK 2020","Mon Aug 10 19:23:10 MSK 2020","9783","test","test_add_contact","","","","test_add_contact[None:firstnameFK:lastnamecg2FQ]",""
"passed","Mon Aug 10 19:25:46 MSK 2020","Mon Aug 10 19:25:47 MSK 2020","872","test","test_del_contact","","","","test_delete_contact_in_group",""
"failed","Mon Aug 10 19:23:39 MSK 2020","Mon Aug 10 19:23:49 MSK 2020","9809","test","test_add_contact","","","","test_add_contact_in_group",""
"passed","Mon Aug 10 19:23:30 MSK 2020","Mon Aug 10 19:23:39 MSK 2020","9383","test","test_add_contact","","","","test_add_contact[None:firstnamehJ6pUoM:lastnamedjnh]",""
"broken","Mon Aug 10 19:25:44 MSK 2020","Mon Aug 10 19:25:45 MSK 2020","1402","test","test_del_contact","","","","test_delete_some_contact",""
"passed","Mon Aug 10 19:21:26 MSK 2020","Mon Aug 10 19:21:28 MSK 2020","1940","test","test_add_group","test_add_group[None","","","test_add_group[None:::]",""
"passed","Mon Aug 10 19:22:35 MSK 2020","Mon Aug 10 19:22:36 MSK 2020","786","test","test_del_group","","","","test_delete_some_group",""
"passed","Mon Aug 10 19:25:26 MSK 2020","Mon Aug 10 19:25:28 MSK 2020","1890","test","test_modify_contact","","","","test_modify_contact_lastname",""
"passed","Mon Aug 10 19:23:20 MSK 2020","Mon Aug 10 19:23:29 MSK 2020","9207","test","test_add_contact","","","","test_add_contact[None:firstnameN:lastnameOl3HS]",""
"passed","Mon Aug 10 19:21:31 MSK 2020","Mon Aug 10 19:21:32 MSK 2020","1321","test","test_add_group","","","","test_add_group[None:nameL:header8Wc:footerB]",""
"passed","Mon Aug 10 19:21:28 MSK 2020","Mon Aug 10 19:21:29 MSK 2020","1234","test","test_add_group","","","","test_add_group[None:nameSY:header:footerBMF6i6l]",""
"passed","Mon Aug 10 19:25:28 MSK 2020","Mon Aug 10 19:25:30 MSK 2020","1867","test","test_modify_contact","","","","test_modify_contact_nickname",""
"passed","Mon Aug 10 19:21:29 MSK 2020","Mon Aug 10 19:21:30 MSK 2020","1348","test","test_add_group","","","","test_add_group[None:nameKH:headeroGOtVvwb53:footerf]",""
"passed","Mon Aug 10 19:25:24 MSK 2020","Mon Aug 10 19:25:26 MSK 2020","1875","test","test_modify_contact","","","","test_modify_contact_middlename",""
"passed","Mon Aug 10 19:21:53 MSK 2020","Mon Aug 10 19:21:55 MSK 2020","1042","test","test_modify_group","","","","test_modify_group_name",""
"broken","Mon Aug 10 19:23:50 MSK 2020","Mon Aug 10 19:23:50 MSK 2020","583","test","test_add_contact","","","","test_add_contact_in_group_main_page",""
"passed","Mon Aug 10 19:21:55 MSK 2020","Mon Aug 10 19:21:56 MSK 2020","1029","test","test_modify_group","","","","test_modify_group_header",""
"passed","Mon Aug 10 19:22:50 MSK 2020","Mon Aug 10 19:23:00 MSK 2020","9772","test","test_add_contact","","","","test_add_contact[None:firstnameVfRu:lastnameh]",""
"passed","Mon Aug 10 19:21:51 MSK 2020","Mon Aug 10 19:21:53 MSK 2020","1974","test","test_modify_group","","","","test_modify_group",""
"passed","Mon Aug 10 19:21:32 MSK 2020","Mon Aug 10 19:21:33 MSK 2020","1235","test","test_add_group","","","","test_add_group[None:namekFq:headerff5Zt64uGlU:footer]",""
"passed","Mon Aug 10 19:21:56 MSK 2020","Mon Aug 10 19:21:57 MSK 2020","1074","test","test_modify_group","","","","test_modify_group_footer",""
"passed","Mon Aug 10 19:23:11 MSK 2020","Mon Aug 10 19:23:20 MSK 2020","9179","test","test_add_contact","","","","test_add_contact[None:firstname:lastnameuHK]",""
